"timestamp","instance","resource","value"
"2020-06-21 01:15:29","5","3304","-127.0"
"2020-06-21 01:15:29","5","3307","3.3"
"2020-06-21 01:15:29","5","3305","3.3"
"2020-06-21 01:15:29","5","3306","1.67"
"2020-06-21 01:15:29","5","3308","0.0"
"2020-06-21 01:15:29","5","3316","4.01"
"2020-06-21 01:15:31","3","3303","21.4"
"2020-06-21 01:15:32","3","3304","76.6"
"2020-06-21 01:15:32","3","3307","3.3"
"2020-06-21 01:15:32","3","3305","3.3"
"2020-06-21 01:15:32","3","3306","0.02"
"2020-06-21 01:15:32","3","3308","927.1"
"2020-06-21 01:15:32","3","3316","3.97"
"2020-06-21 01:18:52","5","3303","-127.0"
"2020-06-21 01:18:52","5","3304","-127.0"
"2020-06-21 01:18:52","5","3307","3.3"
"2020-06-21 01:18:53","5","3305","3.3"
"2020-06-21 01:18:53","5","3306","1.67"
"2020-06-21 01:18:53","5","3308","0.0"
"2020-06-21 01:18:53","5","3316","4.01"
"2020-06-21 01:19:43","3","3303","21.4"
"2020-06-21 01:19:43","3","3304","76.6"
"2020-06-21 01:19:43","3","3307","3.3"
"2020-06-21 01:19:43","3","3305","3.3"
"2020-06-21 01:19:43","3","3306","0.02"
"2020-06-21 01:19:43","3","3308","927.0"
"2020-06-21 01:19:43","3","3316","3.97"
"2020-06-21 01:21:07","5","3303","-127.0"
"2020-06-21 01:21:07","5","3304","-127.0"
"2020-06-21 01:21:07","5","3307","3.3"
"2020-06-21 01:21:07","5","3305","3.3"
"2020-06-21 01:21:07","5","3306","1.67"
"2020-06-21 01:21:07","5","3308","0.0"
"2020-06-21 01:21:08","5","3316","4.01"
"2020-06-21 01:22:55","3","3303","21.5"
"2020-06-21 01:22:55","3","3304","76.6"
"2020-06-21 01:22:56","3","3307","3.3"
"2020-06-21 01:22:56","3","3305","3.3"
"2020-06-21 01:22:56","3","3306","0.02"
"2020-06-21 01:22:56","3","3308","927.0"
"2020-06-21 01:22:56","3","3316","3.97"
"2020-06-21 01:24:03","3","3303","21.5"
"2020-06-21 01:24:03","3","3304","76.6"
"2020-06-21 01:24:03","3","3307","3.3"
"2020-06-21 01:24:04","3","3305","3.3"
"2020-06-21 01:24:04","3","3306","0.02"
"2020-06-21 01:24:04","3","3308","927.0"
"2020-06-21 01:24:04","3","3316","3.97"
"2020-06-21 01:25:11","3","3303","21.4"
"2020-06-21 01:25:11","3","3304","76.6"
"2020-06-21 01:25:11","3","3307","3.3"
"2020-06-21 01:25:11","3","3305","3.3"
"2020-06-21 01:25:12","3","3306","0.02"
"2020-06-21 01:25:12","3","3308","926.9"
"2020-06-21 01:25:12","3","3316","3.97"
"2020-06-21 01:25:31","5","3303","-127.0"
"2020-06-21 01:25:31","5","3304","-127.0"
"2020-06-21 01:25:31","5","3307","3.3"
"2020-06-21 01:25:31","5","3305","3.3"
